[none] [12/Jan/2021 18:46:00]  random_id: 16104663608837902 attachment: wall-200069052_1 peer_id: 2000000005 
[none] [12/Jan/2021 18:46:01]  random_id: 16104663613447942 attachment: wall-200069033_3 peer_id: 2000000005 
[none] [12/Jan/2021 18:46:01]  random_id: 16104663618877940 attachment: wall-200071131_3 peer_id: 2000000005 
[none] [12/Jan/2021 18:46:02]  random_id: 16104663621987972 attachment: wall-141738122_1047 peer_id: 2000000005 
[none] [12/Jan/2021 19:06:53]  random_id: 16104676137590904 attachment: wall-200069052_1 peer_id: 2000000005 
[none] [12/Jan/2021 19:06:54]  random_id: 16104676142930894 attachment: wall-200069033_3 peer_id: 2000000005 
[none] [12/Jan/2021 19:06:54]  random_id: 16104676148040866 attachment: wall-200071131_3 peer_id: 2000000005 
[none] [12/Jan/2021 19:06:55]  random_id: 16104676151310866 attachment: wall-141738122_1047 peer_id: 2000000005 
[none] [12/Jan/2021 19:09:06]  random_id: 16104677461761394 attachment: wall-141738122_1047 peer_id: 2000000005 
[none] [12/Jan/2021 19:12:24]  random_id: 16104679446791982 attachment: wall-141738122_1047 peer_id: 2000000005 
[none] [13/Jan/2021 08:34:23]  random_id: 16105160631797820 attachment: wall-200071131_3 peer_id: 2000000005 
[none] [13/Jan/2021 08:37:52]  random_id: 16105162721266876 attachment: wall-200071131_3 peer_id: 2000000005 
[none] [13/Jan/2021 08:37:52]  random_id: 16105162725016062 attachment: wall-141738122_1047 peer_id: 2000000005 
[none] [13/Jan/2021 08:39:09]  random_id: 16105163491821854 attachment: wall-200071131_3 peer_id: 2000000005 
[none] [13/Jan/2021 08:39:09]  random_id: 16105163495863896 attachment: wall-141738122_1047 peer_id: 2000000005 
[none] [13/Jan/2021 08:48:28]  random_id: 16105169087915962 attachment: wall-200104213_1 peer_id: 2000000005 
[none] [13/Jan/2021 09:13:51]  random_id: 16105184317935316 attachment: wall-200104213_1 peer_id: 2000000005 
[none] [13/Jan/2021 09:31:32]  random_id: 16105194929504204 attachment: wall-200104213_1 peer_id: 2000000005 
[none] [13/Jan/2021 09:32:59]  random_id: 16105195796946570 attachment: wall-200069052_1 peer_id: 2000000005 
[none] [13/Jan/2021 09:33:00]  random_id: 16105195801202776 attachment: wall-200069033_3 peer_id: 2000000005 
[none] [13/Jan/2021 09:33:00]  random_id: 16105195805074826 attachment: wall-200071131_3 peer_id: 2000000005 
[none] [13/Jan/2021 09:33:00]  random_id: 16105195809088362 attachment: wall-200104213_1 peer_id: 2000000005 
[none] [13/Jan/2021 12:07:06]  random_id: 16105288264004632 attachment: wall-141738122_224 peer_id: 2000000005 
[none] [13/Jan/2021 12:07:06]  random_id: 16105288266766998 message: Что-то пошло не так. Убедитесь, что группа https://vk.com/club12399143 не заблокирована и не является закрытой. peer_id: 2000000005 
[none] [13/Jan/2021 12:07:06]  random_id: 16105288269480950 message: Что-то пошло не так. Убедитесь, что группа https://vk.com/martiantest не заблокирована и не является закрытой. peer_id: 2000000005 
[none] [13/Jan/2021 12:07:07]  random_id: 16105288274507382 attachment: wall-162171215_34 peer_id: 2000000005 
[none] [13/Jan/2021 12:07:07]  random_id: 16105288278711850 attachment: wall-200069052_1 peer_id: 2000000005 
[none] [13/Jan/2021 12:07:08]  random_id: 16105288281447372 message: Стена пуста. peer_id: 2000000005 
[none] [13/Jan/2021 12:35:32]  random_id: 16105305321550754 attachment: wall-141738122_42 peer_id: 2000000005 
[none] [13/Jan/2021 12:35:32]  random_id: 16105305325878968 message: Что-то пошло не так. Убедитесь, что группа https://vk.com/club12399143 не заблокирована и не является закрытой. peer_id: 2000000005 
[none] [13/Jan/2021 12:35:32]  random_id: 16105305328368890 message: Что-то пошло не так. Убедитесь, что группа https://vk.com/martiantest не заблокирована и не является закрытой. peer_id: 2000000005 
[none] [13/Jan/2021 12:35:33]  random_id: 16105305333060240 attachment: wall-162171215_1580 peer_id: 2000000005 
